,id,lat,lng,date_taken
0,---RQovAy2-bjWaCAXfRnw0,30.19166898857447,-82.96551866010908,2023-05
1,---RQovAy2-bjWaCAXfRnw1,30.19166898857447,-82.96551866010908,2023-05
2,---RQovAy2-bjWaCAXfRnw2,30.19166898857447,-82.96551866010908,2023-05
3,---RQovAy2-bjWaCAXfRnw3,30.19166898857447,-82.96551866010908,2023-05
4,---RQovAy2-bjWaCAXfRnw4,30.19166898857447,-82.96551866010908,2023-05
5,---w9U_VLdSJkPgK8DBPeQ0,-39.78057130510518,176.2574004947274,2013-01
6,---w9U_VLdSJkPgK8DBPeQ1,-39.78057130510518,176.2574004947274,2013-01
7,---w9U_VLdSJkPgK8DBPeQ2,-39.78057130510518,176.2574004947274,2013-01
8,---w9U_VLdSJkPgK8DBPeQ3,-39.78057130510518,176.2574004947274,2013-01
9,---w9U_VLdSJkPgK8DBPeQ4,-39.78057130510518,176.2574004947274,2013-01
10,--0X7Bf9JA-hSu57lbp5RA0,41.53474948429303,13.856651965329156,2023-03
11,--0X7Bf9JA-hSu57lbp5RA1,41.53474948429303,13.856651965329156,2023-03
12,--0X7Bf9JA-hSu57lbp5RA2,41.53474948429303,13.856651965329156,2023-03
13,--0X7Bf9JA-hSu57lbp5RA3,41.53474948429303,13.856651965329156,2023-03
14,--0X7Bf9JA-hSu57lbp5RA4,41.53474948429303,13.856651965329156,2023-03
15,--1BRfPgB6d5zTHUQJxFWg0,45.11019706481667,5.432982961188047,2022-07
16,--1BRfPgB6d5zTHUQJxFWg1,45.11019706481667,5.432982961188047,2022-07
17,--1BRfPgB6d5zTHUQJxFWg2,45.11019706481667,5.432982961188047,2022-07
18,--1BRfPgB6d5zTHUQJxFWg3,45.11019706481667,5.432982961188047,2022-07
19,--1BRfPgB6d5zTHUQJxFWg4,45.11019706481667,5.432982961188047,2022-07
20,--1FTw2AsPmLmAKAimz3Ow0,49.77842388158735,-115.72645629792105,2012-07
21,--1FTw2AsPmLmAKAimz3Ow1,49.77842388158735,-115.72645629792105,2012-07
22,--1FTw2AsPmLmAKAimz3Ow2,49.77842388158735,-115.72645629792105,2012-07
23,--1FTw2AsPmLmAKAimz3Ow3,49.77842388158735,-115.72645629792105,2012-07
24,--1FTw2AsPmLmAKAimz3Ow4,49.77842388158735,-115.72645629792105,2012-07
25,--1UPzV0AlXOhnZRv9TKiw0,60.627964496683305,6.294384426911423,2019-07
26,--1UPzV0AlXOhnZRv9TKiw1,60.627964496683305,6.294384426911423,2019-07
27,--1UPzV0AlXOhnZRv9TKiw2,60.627964496683305,6.294384426911423,2019-07
28,--1UPzV0AlXOhnZRv9TKiw3,60.627964496683305,6.294384426911423,2019-07
29,--1UPzV0AlXOhnZRv9TKiw4,60.627964496683305,6.294384426911423,2019-07
30,--51JZzGt3YJ4f5NFyNLEQ0,45.69128922148312,4.715439883786866,2011-02
31,--51JZzGt3YJ4f5NFyNLEQ1,45.69128922148312,4.715439883786866,2011-02
32,--51JZzGt3YJ4f5NFyNLEQ2,45.69128922148312,4.715439883786866,2011-02
33,--51JZzGt3YJ4f5NFyNLEQ3,45.69128922148312,4.715439883786866,2011-02
34,--51JZzGt3YJ4f5NFyNLEQ4,45.69128922148312,4.715439883786866,2011-02
35,--6gmbSjREzKmPKv9ILCwQ0,42.86184675124158,-96.78606561948196,2021-08
36,--6gmbSjREzKmPKv9ILCwQ1,42.86184675124158,-96.78606561948196,2021-08
37,--6gmbSjREzKmPKv9ILCwQ2,42.86184675124158,-96.78606561948196,2021-08
38,--6gmbSjREzKmPKv9ILCwQ3,42.86184675124158,-96.78606561948196,2021-08
39,--6gmbSjREzKmPKv9ILCwQ4,42.86184675124158,-96.78606561948196,2021-08
